Date,Open,High,Low,Close,Adj Close,Volume
11/18/2017,7697.21,7884.99,7463.44,7790.15,7790.15,3667190016
11/19/2017,7766.03,8101.91,7694.1,8036.49,8036.49,3149319936
11/20/2017,8039.07,8336.86,7949.36,8200.64,8200.64,3488450048
11/21/2017,8205.74,8348.66,7762.71,8071.26,8071.26,4277609984
11/22/2017,8077.95,8302.26,8075.47,8253.55,8253.55,3633530112
11/23/2017,8232.38,8267.4,8038.77,8038.77,8038.77,4225179904
11/24/2017,8074.02,8374.16,7940.93,8253.69,8253.69,5058610176
11/25/2017,8241.71,8790.92,8191.15,8790.92,8790.92,4342060032
11/26/2017,8789.04,9522.93,8775.59,9330.55,9330.55,5475579904
11/27/2017,9352.72,9818.35,9352.72,9818.35,9818.35,5653320192
11/28/2017,9823.43,10125.7,9736.3,10058.8,10058.8,6348819968
11/29/2017,10077.4,11517.4,9601.03,9888.61,9888.61,11568799744
11/30/2017,9906.79,10801,9202.05,10233.6,10233.6,8310689792
12/1/2017,10198.6,11046.7,9694.65,10975.6,10975.6,6783119872
12/2/2017,10978.3,11320.2,10905.1,11074.6,11074.6,5138500096
12/3/2017,11082.7,11858.7,10862,11323.2,11323.2,6608309760
12/4/2017,11315.4,11657.2,11081.8,11657.2,11657.2,6132409856
12/5/2017,11685.7,12032,11604.6,11916.7,11916.7,6895260160
12/6/2017,11923.4,14369.1,11923.4,14291.5,14291.5,12656300032
12/7/2017,14266.1,17899.7,14057.3,17899.7,17899.7,17950699520
12/8/2017,17802.9,18353.4,14336.9,16569.4,16569.4,21135998976
12/9/2017,16523.3,16783,13674.9,15178.2,15178.2,13911300096
12/10/2017,15168.4,15850.6,13226.6,15455.4,15455.4,13433299968
12/11/2017,15427.4,17513.9,15404.8,16936.8,16936.8,12153900032
12/12/2017,16919.8,17781.8,16571.6,17415.4,17415.4,14603799552
12/13/2017,17500,17653.1,16039.7,16408.2,16408.2,12976900096
12/14/2017,16384.6,17085.8,16185.9,16564,16564,13777399808
12/15/2017,16601.3,18154.1,16601.3,17706.9,17706.9,14309999616
12/16/2017,17760.3,19716.7,17515.3,19497.4,19497.4,12740599808
12/17/2017,19475.8,20089,18974.1,19140.8,19140.8,13314599936
12/18/2017,19106.4,19371,18355.9,19114.2,19114.2,14839499776
12/19/2017,19118.3,19177.8,17275.4,17776.7,17776.7,16894499840
12/20/2017,17760.3,17934.7,16077.7,16624.6,16624.6,22149699584
12/21/2017,16642.4,17567.7,15342.7,15802.9,15802.9,16516599808
12/22/2017,15898,15943.4,11833,13831.8,13831.8,22197999616
12/23/2017,13948.7,15603.2,13828.8,14699.2,14699.2,13086000128
12/24/2017,14608.2,14626,12747.7,13925.8,13925.8,11572299776
12/25/2017,13995.9,14593,13448.9,14026.6,14026.6,10664699904
12/26/2017,14036.6,16461.2,14028.9,16099.8,16099.8,13454300160
12/27/2017,16163.5,16930.9,15114.3,15838.5,15838.5,12487600128
12/28/2017,15864.1,15888.4,13937.3,14606.5,14606.5,12336499712
12/29/2017,14695.8,15279,14307,14656.2,14656.2,13025500160
12/30/2017,14681.9,14681.9,12350.1,12952.2,12952.2,14452599808
12/31/2017,12897.7,14377.4,12755.6,14156.4,14156.4,12136299520
1/1/2018,14112.2,14112.2,13154.7,13657.2,13657.2,10291200000
1/2/2018,13625,15444.6,13163.6,14982.1,14982.1,16846600192
1/3/2018,14978.2,15572.8,14844.5,15201,15201,16871900160
1/4/2018,15270.7,15739.7,14522.2,15599.2,15599.2,21783199744
1/5/2018,15477.2,17705.2,15202.8,17429.5,17429.5,23840899072
1/6/2018,17462.1,17712.4,16764.6,17527,17527,18314600448
1/7/2018,17527.3,17579.6,16087.7,16477.6,16477.6,15866000384
1/8/2018,16476.2,16537.9,14208.2,15170.1,15170.1,18413899776
1/9/2018,15123.7,15497.5,14424,14595.4,14595.4,16659999744
1/10/2018,14588.5,14973.3,13691.2,14973.3,14973.3,18500800512
1/11/2018,14968.2,15018.8,13105.9,13405.8,13405.8,16534099968
1/12/2018,13453.9,14229.9,13158.1,13980.6,13980.6,12065699840
1/13/2018,13952.4,14659.5,13952.4,14360.2,14360.2,12763599872
